date_time,period,destination_place,frequency,province,revenue,age_bin,sex,no_of_trips,trip_kms
2023-09-02,8,house,frequent,Alicante/Alacant,10-15,25-45,woman,5.369,42.001
2023-09-04,17,work/study,frequent,Palencia,>15,,,3.957,7.215
2023-09-02,10,house,work/study,Córdoba,<10,,,31.26,35.252
2023-09-07,21,not_frequent,not_frequent,Ciudad Real,10-15,45-65,man,2.674,3.368
2023-09-07,9,frequent,frequent,Asturias,>15,45-65,man,2.751,5.11
2023-09-04,6,house,work/study,Girona,10-15,,,3.155,81.247
2023-09-07,8,house,not_frequent,Valencia/València,10-15,,,15.802,16.909
2023-09-02,11,house,work/study,Málaga,<10,,,4.344,12.51
2023-09-01,4,not_frequent,house,Barcelona,10-15,45-65,,5.626,15.205
2023-09-07,21,not_frequent,house,Córdoba,<10,0-25,man,5.107,7.237
2023-09-04,18,frequent,house,Madrid,>15,45-65,,4.471,40.731
2023-09-04,20,not_frequent,frequent,Málaga,<10,25-45,woman,4.409,24.825
2023-09-06,8,house,frequent,Madrid,10-15,25-45,man,6.508,84.856
2023-09-02,16,frequent,house,A Coruña,10-15,65-100,man,20.473,86.678
2023-09-04,15,house,frequent,Tarragona,10-15,25-45,man,10.845,9.196
2023-09-01,16,work/study,house,Madrid,10-15,0-25,woman,12.822,158.698
2023-09-06,12,frequent,work/study,Gipuzkoa,>15,45-65,woman,3.657,26.214
2023-09-06,16,not_frequent,house,Valencia/València,10-15,0-25,man,5.713,193.614
2023-09-04,9,not_frequent,not_frequent,Madrid,10-15,25-45,woman,8.598,1038.804
2023-09-02,21,house,not_frequent,Jaén,<10,,,3.476,6.457
2023-09-05,11,not_frequent,not_frequent,Alicante/Alacant,<10,45-65,man,3.472,9.427
2023-09-06,12,house,work/study,Badajoz,10-15,,,5.938,33.249
2023-09-01,19,house,frequent,Madrid,10-15,45-65,woman,5.935,16.921
2023-09-01,19,frequent,frequent,Barcelona,10-15,45-65,,2.983,29.811
2023-09-02,9,not_frequent,not_frequent,Jaén,10-15,,,4.409,311.337
2023-09-01,18,not_frequent,not_frequent,Málaga,<10,0-25,woman,9.508,22.441
2023-09-02,10,house,frequent,Barcelona,10-15,45-65,man,2.14,75.577
2023-09-04,8,house,frequent,Barcelona,>15,25-45,,2.871,44.236
2023-09-06,19,house,not_frequent,León,10-15,,,2.892,70.742
2023-09-04,7,frequent,house,A Coruña,10-15,25-45,,5.391,58.006
2023-09-04,11,not_frequent,frequent,Bizkaia,10-15,65-100,,7.658,135.455
2023-09-03,16,house,work/study,Illes Balears,10-15,45-65,woman,3.489,45.727
2023-09-02,4,house,frequent,Alicante/Alacant,<10,,,5.792,212.688
2023-09-06,13,frequent,house,Pontevedra,10-15,,,30.444,247.172
2023-09-07,20,frequent,frequent,Castellón/Castelló,10-15,25-45,man,3.187,6.064
2023-09-07,5,house,frequent,Barcelona,10-15,45-65,,1.912,85.62
2023-09-01,4,house,frequent,Granada,10-15,0-25,man,7.647,23.762
2023-09-02,18,house,not_frequent,Barcelona,<10,45-65,man,7.16,5.65
2023-09-06,1,frequent,house,Las Palmas,<10,25-45,woman,3.861,52.625
2023-09-01,14,frequent,frequent,Barcelona,>15,25-45,woman,3.78,21.155
2023-09-01,10,work/study,not_frequent,Salamanca,10-15,,,2.333,10.784
2023-09-06,9,frequent,work/study,Barcelona,>15,0-25,woman,5.709,67.6
2023-09-02,17,house,frequent,Valencia/València,10-15,25-45,man,6.672,22.163
2023-09-05,3,not_frequent,frequent,Valencia/València,10-15,65-100,woman,4.695,12.276
2023-09-03,7,house,frequent,Huelva,10-15,,,6.666,9.256
2023-09-07,8,not_frequent,not_frequent,Madrid,10-15,0-25,woman,8.897,83.693
2023-09-03,19,house,frequent,Valencia/València,10-15,45-65,man,3.436,19.73
2023-09-05,7,house,work/study,Asturias,10-15,25-45,man,27.445,452.938
2023-09-03,13,house,frequent,Barcelona,10-15,65-100,,3.477,36.053
2023-09-02,19,frequent,house,A Coruña,>15,65-100,woman,5.808,11.035
2023-09-05,11,work/study,house,Murcia,>15,45-65,woman,4.859,6.338
2023-09-04,23,not_frequent,house,Almería,<10,25-45,man,8.742,138.28
2023-09-01,12,frequent,house,Barcelona,>15,65-100,woman,4.043,28.053
2023-09-04,17,work/study,house,Bizkaia,10-15,0-25,,5.489,69.124
2023-09-04,23,frequent,house,Málaga,10-15,65-100,,3.051,77.625
2023-09-07,19,frequent,not_frequent,Madrid,>15,25-45,woman,10.852,11.677
